,status,fronds.new,fronds.old,fronds.ratio,min,species,dbh,nw.tree.01,nw.tree.02,nw.tree.03,nw.tree.04,nw.tree.05,sw.tree.06,sw.tree.07,sw.tree.08,sw.tree.09,sw.tree.10,sw.tree.11,sw.tree.12,ne.tree.13,ne.tree.14,ne.tree.15,se.tree.16,se.tree.17,sw.tree.20,sw.tree.21,sw.tree.22,sw.tree.23,sw.tree.24,sw.tree.25,se.log.01.eastTip,nw.log.02.southButt,smaller.doug.fir.log
nw.deadFern.18,dead,NA,NA,NA,4.88,ACMA,54.8,4.88,20.89,38.43,43.19,45.62,42.39,61.56,62.74,52.36,47.12,49.95,48.27,26.7,37.85,33.02,38.06,52.51,70.18,67.27,72.3,80.59,75.43,81.35,50.81,32.11,43.33
nw.deadFern.29,dead,NA,NA,NA,2.63,ACMA,54.8,2.63,18.25,35.11,41.91,44.68,45.64,64.94,65.58,54.86,48.94,50.74,49.62,30,40.44,36.28,41.97,55.88,73.96,71.05,76.65,84.75,79.47,85.49,54.68,30.75,42.47
nw.deadFern.86,dead,NA,NA,NA,7.38,ACMA,54.8,7.38,13.99,28.95,39.03,42.32,50.33,69.75,69.39,58.15,51.15,51.19,51.03,36.77,46.46,42.99,49.16,62.61,81.03,78.13,83.82,92.05,86.72,92.78,60.49,28.08,43.72
nw.deadFern.36,dead,NA,NA,NA,8.7,ACMA,54.8,8.7,17.87,36,36.45,38.39,35.16,54.55,54.85,44.11,38.46,41.31,39.54,31.75,44,37.93,40.71,56.76,72.91,69.99,70.78,81.31,76.91,82.19,45.2,25.76,43.56
nw.deadFern.27,dead,NA,NA,NA,10.35,ACMA,54.8,10.35,18.86,36.92,36.36,38.12,33.5,52.89,53.24,42.56,37.09,40.29,38.32,31.8,44.23,37.91,40.22,56.53,72.34,69.43,69.54,80.38,76.12,81.28,43.57,25.86,42.43
nw.deadFern.20,dead,NA,NA,NA,10.8,ACMA,54.8,10.8,17.34,35.29,34.36,36.15,33.41,52.83,52.76,41.85,35.97,38.71,36.96,33.8,46.21,39.91,42.14,58.51,74.23,71.33,70.9,82.07,77.89,82.98,44.05,23.86,43.93
nw.deadFern.84,dead,NA,NA,NA,14.49,ACMA,54.8,14.49,20.13,37.69,34.44,35.78,29.58,49,49.03,38.26,32.81,36.43,34.18,34.21,46.95,40.13,41.3,58.17,73.1,70.21,68.18,80.08,76.22,81.03,40.37,24.54,41.57
nw.deadFern.21,dead,NA,NA,NA,8.39,ACMA,54.8,8.39,13.35,31.46,32.72,34.97,37.28,56.69,56.12,44.93,38.32,39.78,38.74,35.81,47.77,42.06,45.19,61.06,77.41,74.5,75.07,85.84,81.46,86.72,48.29,21.8,47.97
nw.deadFern.80,dead,NA,NA,NA,6.35,ACMA,54.8,6.35,10.03,27.84,33.26,36.13,43.23,62.63,61.81,50.45,43.31,43.57,43.23,37.53,48.65,43.85,48.3,63.28,80.55,77.63,80.11,90,85.25,90.83,54.22,22.11,50.35
nw.deadFern.74,dead,NA,NA,NA,8.25,ACMA,54.8,8.25,12.16,27.07,37.26,40.61,50.18,69.59,68.91,57.55,50.29,49.93,49.98,38.47,48.31,44.7,50.66,64.33,82.61,79.71,84.81,93.38,88.15,94.14,60.71,26.37,45.45
nw.deadFern.73,dead,NA,NA,NA,9.44,ACMA,15.7,9.98,9.44,24.35,34.59,38.03,49.92,69.29,68.15,56.62,48.97,48.03,48.38,40.94,51.01,47.2,52.83,66.82,84.89,81.99,86.21,95.29,90.21,96.07,61,23.8,48.11
nw.deadFern.77,dead,NA,NA,NA,8.56,ACMA,15.7,13.15,8.56,21.51,33.41,37.06,52.01,71.31,69.74,58.06,50.02,48.29,49.08,44.02,53.9,50.27,56,69.89,88.04,85.14,89.25,98.46,93.38,99.24,63.48,22.98,49.57
nw.deadFern.46,dead,NA,NA,NA,7.33,ACMA,15.7,16.12,7.33,18.22,31.13,34.95,53.02,72.18,70.1,58.28,49.82,47.28,48.51,47.23,57.18,53.49,59.04,73.11,91.14,88.24,91.71,101.31,96.34,102.11,64.98,21.13,52.32
