Latitude	Longitude	Elevation
47.51619000	-122.011000	263.0
47.51616000	-122.010980	263.0
47.51613000	-122.010970	263.0
47.51611000	-122.010950	264.0
47.51608000	-122.010940	264.0
47.51604000	-122.010930	264.0
47.51601000	-122.010900	265.0
47.51598000	-122.010870	265.0
47.51596000	-122.010840	266.0
47.51593000	-122.010820	267.0
47.51591000	-122.010800	267.0
47.51588000	-122.010780	268.0
47.51585000	-122.010770	268.0
47.51582000	-122.010750	268.0
47.51579000	-122.010730	269.0
47.51576000	-122.010710	269.0
47.51573000	-122.010700	269.0
47.51570000	-122.010670	270.0
47.51567000	-122.010640	270.0
47.51565000	-122.010620	271.0
47.51561000	-122.010590	271.0
47.51559000	-122.010560	272.0
47.51556000	-122.010530	273.0
47.51554000	-122.010510	273.0
47.51551000	-122.010490	274.0
47.51549000	-122.010480	274.0
47.51545000	-122.010460	274.0
47.51542000	-122.010450	274.0
47.51539000	-122.010440	274.0
47.51536000	-122.010420	274.0
47.51533000	-122.010400	275.0
47.51531000	-122.010380	275.0
47.51528000	-122.010380	274.0
47.51525000	-122.010370	275.0
47.51521000	-122.010360	275.0
47.51519000	-122.010340	276.0
47.51516000	-122.010310	277.0
47.51514000	-122.010260	279.0
47.51511000	-122.010220	280.0
47.51509000	-122.010180	282.0
47.51507000	-122.010140	283.0
47.51505000	-122.010110	284.0
47.51503000	-122.010070	285.0
47.51501000	-122.010030	287.0
47.51500000	-122.009990	288.0
47.51498000	-122.009960	289.0
47.51496000	-122.009950	289.0
47.51493000	-122.009940	289.0
47.51490000	-122.009930	289.0
47.51486000	-122.009910	290.0
47.51483000	-122.009890	290.0
47.51479000	-122.009870	291.0
47.51477000	-122.009850	291.0
47.51474000	-122.009830	291.0
47.51472000	-122.009810	292.0
47.51468000	-122.009780	292.0
47.51465000	-122.009770	292.0
47.51463000	-122.009740	293.0
47.51460000	-122.009710	294.0
47.51458000	-122.009690	294.0
47.51454000	-122.009680	294.0
47.51451000	-122.009670	295.0
47.51448000	-122.009660	295.0
47.51445000	-122.009660	295.0
47.51442000	-122.009650	295.0
47.51439000	-122.009640	295.0
47.51436000	-122.009620	296.0
47.51433000	-122.009610	296.0
47.51430000	-122.009610	296.0
47.51426000	-122.009600	296.0
47.51423000	-122.009590	297.0
47.51420000	-122.009590	297.0
47.51416000	-122.009600	297.0
47.51412000	-122.009600	297.0
47.51409000	-122.009600	297.0
47.51406000	-122.009600	297.0
47.51402000	-122.009600	297.0
47.51399000	-122.009580	298.0
47.51396000	-122.009570	299.0
47.51392000	-122.009560	299.0
47.51388000	-122.009560	299.0
47.51385000	-122.009550	300.0
47.51382000	-122.009530	301.0
47.51379000	-122.009520	302.0
47.51375000	-122.009510	303.0
47.51372000	-122.009490	304.0
47.51370000	-122.009460	305.0
47.51367000	-122.009430	306.0
47.51365000	-122.009410	307.0
